id_email,timestamp,expediteur_id,destinataire_id,sujet,corps
E00105,2025-12-16T01:30:00,S02,S01,Régularisation dossier 2026-5872,"Bonjour Claire,

Le dossier 2026-5872 est régularisé. La transaction peut partir cet après-midi. Bénéficiaire confirmé en double check.

Antoine"
E00450,2025-12-16T01:30:00,S05,S06,Procédure KYC - mise à jour,"Bonjour à tous,

La procédure KYC est mise à jour suite aux dernières recommandations de l’ACPR. Nouvelle version applicable au 1er avril.

Élodie"
E00482,2025-12-16T01:30:00,S10,S05,Réunion comité lundi,"Bonjour Élodie,

Peux-tu confirmer ta présence à la réunion du comité lundi à 14h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Thomas"
E00181,2025-12-16T02:30:00,S08,S05,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Marc"
E00255,2025-12-16T07:30:00,S08,S03,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Marc"
E00792,2025-12-16T07:30:00,S07,S01,Demande client M. Beaumont - allocation,"Claire,

Le client M. Beaumont souhaite revoir son allocation. Il évoque un profil plus prudent. Peux-tu préparer une simulation ?

Merci,
Julie"
E00124,2025-12-16T08:30:00,S02,S06,Présentation client Fondation Albert-Schweitzer jeudi,"Bonjour Pierre,

Nous recevons Fondation Albert-Schweitzer jeudi à 11h. Merci de préparer la slide deck habituelle et le bilan annuel.

Antoine"
E00911,2025-12-16T08:30:00,S10,S05,Demande de pièces - audit Q1,"Bonjour Élodie,

Dans le cadre de l’audit interne Q1, merci de me transmettre les balances comptables au vendredi et la liste des écritures > 100k EUR.

Cordialement,
Thomas"
E00088,2025-12-16T08:30:00,S02,S04,Réunion comité lundi,"Bonjour Karim,

Peux-tu confirmer ta présence à la réunion du comité lundi à 18h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Antoine"
E00195,2025-12-16T09:30:00,S05,S08,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Élodie"
E01000,2025-12-16T09:30:00,S01,S02,Préparation board,"Antoine,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Claire"
E00584,2025-12-16T10:30:00,S05,S07,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Élodie"
E00258,2025-12-16T10:30:00,S01,S03,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Claire"
E00779,2025-12-16T11:30:00,S08,S09,Régularisation dossier 2026-662,"Bonjour Léa,

Le dossier 2026-662 est régularisé. La transaction peut partir cet après-midi. Bénéficiaire confirmé en double check.

Marc"
E00317,2025-12-16T11:30:00,S08,S09,Justificatif manquant dossier 2025-2779,"Léa,

Il me manque le justificatif d’origine des fonds sur le dossier 2025-2779. Sans ce document, je ne peux pas débloquer la transaction.

Marc"
E00703,2025-12-16T11:30:00,S04,S08,Réunion comité jeudi,"Bonjour Marc,

Peux-tu confirmer ta présence à la réunion du comité jeudi à 9h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Karim"
E00665,2025-12-17T01:30:00,S01,S08,Compte rendu réunion direction,"Bonjour Marc,

Veuillez trouver ci-joint le compte rendu de la réunion de direction de vendredi. Les actions qui te concernent sont surlignées en jaune. Échéance fixée au lundi.

Cordialement,
Claire"
E00926,2025-12-17T01:30:00,S10,S08,Café demain matin,"Marc, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Thomas"
E00522,2025-12-17T01:30:00,S05,S02,RE: Demande de pièces - audit Q1,"Bonjour,

Documents transmis ce matin via le coffre-fort numérique. Code d’accès envoyé séparément.

Élodie"
E00562,2025-12-17T04:30:00,S01,S05,Demande de congés,"Bonjour Élodie,

Je pose mes congés du mardi au jeudi. Mon binôme prendra le relais sur les dossiers en cours.

Merci de valider.
Claire"
E00167,2025-12-17T04:30:00,S05,S08,Bonne année 2026,"Bonjour à tous,

Toute l’équipe vous souhaite une excellente année 2026, pleine de réussites professionnelles et personnelles.

La direction"
E00591,2025-12-17T05:30:00,S05,S10,Demande de pièces - audit Q1,"Bonjour Thomas,

Dans le cadre de l’audit interne Q1, merci de me transmettre les balances comptables au mercredi et la liste des écritures > 100k EUR.

Cordialement,
Élodie"
E00326,2025-12-17T06:30:00,S08,S02,Pot de départ - Mme Durand-Lefèvre,"Bonjour à tous,

Nous organisons un pot de départ pour Mme Durand-Lefèvre vendredi à 18h en salle de pause. Une cagnotte circule.

Marc"
E00308,2025-12-17T06:30:00,S04,S08,Maintenance serveurs jeudi,"Bonjour à tous,

Une maintenance des serveurs est programmée jeudi entre 22h et 2h. Indisponibilité partielle prévue. Pensez à sauvegarder vos travaux.

L’équipe IT,
Karim"
E00727,2025-12-17T06:30:00,S01,S07,Régularisation dossier 2025-5910,"Bonjour Julie,

Le dossier 2025-5910 est régularisé. La transaction peut partir cet après-midi. Bénéficiaire confirmé en double check.

Claire"
E00354,2025-12-17T07:30:00,S03,S08,Préparation board,"Marc,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Sophie"
E00463,2025-12-17T07:30:00,S09,S01,RE: Demande de congés,"Bonjour,

Congés validés. Bonne pause à toi.

Léa"
E00164,2025-12-17T07:30:00,S02,S09,Café demain matin,"Léa, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Antoine"
E00331,2025-12-17T10:30:00,S05,S03,Demande de pièces - audit Q1,"Bonjour Sophie,

Dans le cadre de l’audit interne Q1, merci de me transmettre les balances comptables au mercredi et la liste des écritures > 100k EUR.

Cordialement,
Élodie"
E00618,2025-12-17T11:30:00,S10,S01,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Thomas"
E00523,2025-12-17T12:30:00,S07,S09,RE: Validation virement client 2025-7453,"Validé. Bonne journée.

Julie"
E00862,2025-12-17T12:30:00,S06,S10,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Pierre"
E00102,2025-12-17T12:30:00,S01,S04,Bonne année 2026,"Bonjour à tous,

Toute l’équipe vous souhaite une excellente année 2026, pleine de réussites professionnelles et personnelles.

La direction"
E00205,2025-12-18T01:30:00,S04,S07,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Karim"
E00655,2025-12-18T02:30:00,S09,S04,Bonne année 2026,"Bonjour à tous,

Toute l’équipe vous souhaite une excellente année 2026, pleine de réussites professionnelles et personnelles.

La direction"
E00781,2025-12-18T05:30:00,S01,S04,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Claire"
E00254,2025-12-18T06:30:00,S01,S10,Pot de départ - Patrimoine Aubertin,"Bonjour à tous,

Nous organisons un pot de départ pour Patrimoine Aubertin vendredi à 18h en salle de pause. Une cagnotte circule.

Claire"
E00104,2025-12-18T06:30:00,S02,S04,RE: Validation virement client 2026-4947,"Validé. Bonne journée.

Antoine"
E00539,2025-12-18T06:30:00,S01,S10,Réunion comité jeudi,"Bonjour Thomas,

Peux-tu confirmer ta présence à la réunion du comité jeudi à 17h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Claire"
E00508,2025-12-18T08:30:00,S08,S10,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Marc"
E00245,2025-12-18T10:30:00,S10,S02,Décalage réunion mardi,"Antoine,

La réunion prévue mardi est décalée à jeudi 10h pour des raisons d’agenda. La salle Picasso reste réservée.

Thomas"
E00160,2025-12-18T10:30:00,S08,S01,Préparation board,"Claire,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Marc"
E00253,2025-12-18T11:30:00,S06,S10,Reporting mensuel M. Renaud,"Bonjour,

Veuillez trouver ci-joint le reporting mensuel pour le client M. Renaud. Performance du portefeuille : +4.4% sur le mois.

Cordialement,
Pierre"
E00686,2025-12-18T11:30:00,S09,S07,Entretien annuel à programmer,"Bonjour Julie,

Nous devons programmer ton entretien annuel avant la fin du mois. Voici trois créneaux possibles : mardi 14h, mercredi 10h, jeudi 16h. Lequel te convient ?

Léa"
E00759,2025-12-18T12:30:00,S08,S06,Présentation client Patrimoine Aubertin jeudi,"Bonjour Pierre,

Nous recevons Patrimoine Aubertin jeudi à 11h. Merci de préparer la slide deck habituelle et le bilan annuel.

Marc"
E00152,2025-12-19T02:30:00,S10,S09,RE: Demande de pièces - audit Q1,"Bonjour,

Documents transmis ce matin via le coffre-fort numérique. Code d’accès envoyé séparément.

Thomas"
E00787,2025-12-19T04:30:00,S02,S09,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Antoine"
E00678,2025-12-19T05:30:00,S10,S08,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Thomas"
E00732,2025-12-19T05:30:00,S03,S02,Régularisation dossier 2025-3482,"Bonjour Antoine,

Le dossier 2025-3482 est régularisé. La transaction peut partir cet après-midi. Bénéficiaire confirmé en double check.

Sophie"
E00343,2025-12-19T07:30:00,S01,S03,Mutuelle - changement de contrat,"Bonjour,

La mutuelle entreprise change au 1er avril. Une réunion d’information est organisée le mercredi à 18h en salle Monet. Présence recommandée.

Claire"
E00812,2025-12-19T08:30:00,S04,S06,Incident applicatif résolu,"Bonjour,

L’incident sur l’application de trading signalé ce matin est résolu. Cause : saturation du cluster de calcul. Service nominal depuis 11h32.

Karim"
E00876,2025-12-19T08:30:00,S02,S03,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Antoine"
E00373,2025-12-19T11:30:00,S10,S05,Demande de pièces - audit Q1,"Bonjour Élodie,

Dans le cadre de l’audit interne Q1, merci de me transmettre les balances comptables au mardi et la liste des écritures > 100k EUR.

Cordialement,
Thomas"
E00352,2025-12-20T03:30:00,S09,S01,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Léa"
E00933,2025-12-20T03:30:00,S01,S03,Entretien annuel à programmer,"Bonjour Sophie,

Nous devons programmer ton entretien annuel avant la fin du mois. Voici trois créneaux possibles : mardi 14h, mercredi 10h, jeudi 16h. Lequel te convient ?

Claire"
E00140,2025-12-20T03:30:00,S10,S01,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Thomas"
E00184,2025-12-20T05:30:00,S07,S04,Régularisation dossier 2026-2362,"Bonjour Karim,

Le dossier 2026-2362 est régularisé. La transaction peut partir cet après-midi. Bénéficiaire confirmé en double check.

Julie"
E00030,2025-12-20T05:30:00,S01,S02,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Claire"
E00264,2025-12-20T08:30:00,S03,S05,Réunion comité mardi,"Bonjour Élodie,

Peux-tu confirmer ta présence à la réunion du comité mardi à 17h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Sophie"
E00507,2025-12-20T10:30:00,S06,S09,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Pierre"
E00215,2025-12-21T02:30:00,S02,S08,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Antoine"
E00322,2025-12-21T05:30:00,S05,S04,Préparation board,"Karim,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Élodie"
E00763,2025-12-21T08:30:00,S04,S08,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Karim"
E00162,2025-12-21T08:30:00,S01,S09,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Claire"
E00365,2025-12-21T09:30:00,S02,S08,Réunion comité vendredi,"Bonjour Marc,

Peux-tu confirmer ta présence à la réunion du comité vendredi à 16h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Antoine"
E00794,2025-12-21T10:30:00,S10,S09,Conclusion audit conformité,"Bonjour,

Les conclusions de l’audit conformité sont disponibles. RAS sur la majorité des dossiers, deux points de vigilance signalés en annexe.

Thomas"
E00848,2025-12-22T01:30:00,S03,S04,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Sophie"
E00624,2025-12-22T03:30:00,S04,S02,Décalage réunion mardi,"Antoine,

La réunion prévue mardi est décalée à jeudi 14h pour des raisons d’agenda. La salle Picasso reste réservée.

Karim"
E00897,2025-12-22T03:30:00,S02,S03,Café demain matin,"Sophie, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Antoine"
E00938,2025-12-22T05:30:00,S04,S05,Préparation board,"Élodie,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Karim"
E00653,2025-12-22T06:30:00,S10,S08,Demande de pièces - audit Q1,"Bonjour Marc,

Dans le cadre de l’audit interne Q1, merci de me transmettre les balances comptables au vendredi et la liste des écritures > 100k EUR.

Cordialement,
Thomas"
E00385,2025-12-22T06:30:00,S02,S05,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Antoine"
E00435,2025-12-22T07:30:00,S01,S02,Mutuelle - changement de contrat,"Bonjour,

La mutuelle entreprise change au 1er avril. Une réunion d’information est organisée le mardi à 9h en salle Monet. Présence recommandée.

Claire"
E00319,2025-12-22T08:30:00,S01,S02,Café demain matin,"Antoine, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Claire"
E00679,2025-12-22T11:30:00,S03,S07,Procédure KYC - mise à jour,"Bonjour à tous,

La procédure KYC est mise à jour suite aux dernières recommandations de l’ACPR. Nouvelle version applicable au 1er avril.

Sophie"
E00117,2025-12-22T12:30:00,S06,S10,Pot de départ - M. Renaud,"Bonjour à tous,

Nous organisons un pot de départ pour M. Renaud vendredi à 18h en salle de pause. Une cagnotte circule.

Pierre"
E00576,2025-12-23T02:30:00,S02,S10,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Antoine"
E00880,2025-12-23T06:30:00,S07,S04,Parking - place attribuée,"Bonjour,

Ta nouvelle place de parking est la B-2025-945. Badge mis à jour automatiquement.

Cordialement,
Services généraux"
E00579,2025-12-23T07:30:00,S05,S03,RE: Demande de pièces - audit Q1,"Bonjour,

Documents transmis ce matin via le coffre-fort numérique. Code d’accès envoyé séparément.

Élodie"
E00196,2025-12-23T08:30:00,S01,S09,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Claire"
E00709,2025-12-23T09:30:00,S02,S03,Point client Mme Durand-Lefèvre,"Bonjour Sophie,

Le client Mme Durand-Lefèvre demande un rendez-vous pour faire le point sur son portefeuille. Disponibilités la semaine prochaine ?

Antoine"
E00802,2025-12-23T11:30:00,S05,S06,Bonne année 2026,"Bonjour à tous,

Toute l’équipe vous souhaite une excellente année 2026, pleine de réussites professionnelles et personnelles.

La direction"
E00605,2025-12-23T11:30:00,S02,S05,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Antoine"
E00442,2025-12-23T12:30:00,S06,S04,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Pierre"
E00785,2025-12-24T01:30:00,S02,S07,Café demain matin,"Julie, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Antoine"
E00182,2025-12-24T01:30:00,S01,S09,Mutuelle - changement de contrat,"Bonjour,

La mutuelle entreprise change au 1er avril. Une réunion d’information est organisée le vendredi à 11h en salle Monet. Présence recommandée.

Claire"
E00534,2025-12-24T01:30:00,S08,S05,RE: Validation virement client 2026-3229,"Validé. Bonne journée.

Marc"
E00262,2025-12-24T01:30:00,S03,S08,RE: Validation virement client 2024-2788,"Validé. Bonne journée.

Sophie"
E00835,2025-12-24T03:30:00,S01,S07,Pot de départ - Fondation Lacroix,"Bonjour à tous,

Nous organisons un pot de départ pour Fondation Lacroix vendredi à 18h en salle de pause. Une cagnotte circule.

Claire"
E00881,2025-12-24T03:30:00,S04,S05,Décalage réunion mardi,"Élodie,

La réunion prévue mardi est décalée à jeudi 14h pour des raisons d’agenda. La salle Picasso reste réservée.

Karim"
E00807,2025-12-24T03:30:00,S04,S05,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Karim"
E00413,2025-12-24T04:30:00,S09,S07,Café demain matin,"Julie, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Léa"
E00134,2025-12-24T05:30:00,S03,S05,RE: Demande de pièces - audit Q1,"Bonjour,

Documents transmis ce matin via le coffre-fort numérique. Code d’accès envoyé séparément.

Sophie"
E00601,2025-12-24T07:30:00,S06,S05,Point client Fondation Albert-Schweitzer,"Bonjour Élodie,

Le client Fondation Albert-Schweitzer demande un rendez-vous pour faire le point sur son portefeuille. Disponibilités la semaine prochaine ?

Pierre"
E00743,2025-12-24T09:30:00,S02,S05,RE: Validation virement client 2026-1864,"Validé. Bonne journée.

Antoine"
E00966,2025-12-24T10:30:00,S02,S06,Réunion comité jeudi,"Bonjour Pierre,

Peux-tu confirmer ta présence à la réunion du comité jeudi à 12h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Antoine"
E00377,2025-12-24T11:30:00,S08,S10,Reporting mensuel Groupe Saint-Clair,"Bonjour,

Veuillez trouver ci-joint le reporting mensuel pour le client Groupe Saint-Clair. Performance du portefeuille : +2.63% sur le mois.

Cordialement,
Marc"
E00989,2025-12-24T12:30:00,S04,S06,Phishing - vigilance,"Bonjour à tous,

Nous avons détecté une campagne de phishing ciblant nos collaborateurs. Ne cliquez sur aucun lien provenant d’expéditeurs inconnus. Signalez tout mail douteux à it@mercier.fr.

Karim"
E00347,2025-12-25T02:30:00,S02,S09,Validation virement client 2026-9096,"Bonjour Léa,

Merci de valider le virement référence 2026-9096 d’un montant de 5 000 EUR pour le compte client. Documentation KYC à jour.

Antoine"
E00219,2025-12-25T04:30:00,S09,S05,Pot de départ - M. Beaumont,"Bonjour à tous,

Nous organisons un pot de départ pour M. Beaumont vendredi à 18h en salle de pause. Une cagnotte circule.

Léa"
E00109,2025-12-25T04:30:00,S05,S10,Procédure KYC - mise à jour,"Bonjour à tous,

La procédure KYC est mise à jour suite aux dernières recommandations de l’ACPR. Nouvelle version applicable au 1er avril.

Élodie"
E00131,2025-12-25T05:30:00,S10,S07,Parking - place attribuée,"Bonjour,

Ta nouvelle place de parking est la B-2025-441. Badge mis à jour automatiquement.

Cordialement,
Services généraux"
E00036,2025-12-25T06:30:00,S04,S02,Migration messagerie - planning,"Bonjour,

La migration de la messagerie vers la nouvelle plateforme est prévue le mardi. Aucune action de votre part requise. Documentation utilisateur en pièce jointe.

Karim"
E00438,2025-12-25T07:30:00,S02,S06,Préparation board,"Pierre,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Antoine"
E00226,2025-12-25T08:30:00,S08,S04,Préparation board,"Karim,

Le board demande un état des lieux sur le portefeuille pour vendredi. Peux-tu m’envoyer tes chiffres consolidés au plus tard jeudi midi ?

Merci,
Marc"
E00688,2025-12-25T08:30:00,S09,S03,Formation obligatoire LCB-FT,"Bonjour à tous,

Rappel : la formation obligatoire LCB-FT 2025 doit être complétée avant le 31 mars. Lien d’inscription en pièce jointe.

Léa"
E00144,2025-12-25T10:30:00,S09,S01,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Léa"
E00705,2025-12-25T11:30:00,S02,S03,Café demain matin,"Sophie, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Antoine"
E00335,2025-12-25T11:30:00,S01,S06,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Claire"
E00455,2025-12-26T01:30:00,S07,S10,RE: Validation virement client 2024-8093,"Validé. Bonne journée.

Julie"
E00396,2025-12-26T01:30:00,S01,S10,Compte rendu réunion direction,"Bonjour Thomas,

Veuillez trouver ci-joint le compte rendu de la réunion de direction de jeudi. Les actions qui te concernent sont surlignées en jaune. Échéance fixée au mardi.

Cordialement,
Claire"
E00858,2025-12-26T03:30:00,S10,S09,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Thomas"
E00716,2025-12-26T03:30:00,S01,S05,RE: Validation virement client 2025-9923,"Validé. Bonne journée.

Claire"
E00032,2025-12-26T05:30:00,S04,S02,Maintenance serveurs lundi,"Bonjour à tous,

Une maintenance des serveurs est programmée lundi entre 22h et 2h. Indisponibilité partielle prévue. Pensez à sauvegarder vos travaux.

L’équipe IT,
Karim"
E00244,2025-12-26T06:30:00,S06,S07,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Pierre"
E00410,2025-12-26T08:30:00,S09,S08,RE: question rapide,"Oui, c’est bon pour moi. On en reparle demain.

Léa"
E00242,2025-12-26T09:30:00,S06,S10,Présentation client Famille Mercier-Jolly jeudi,"Bonjour Thomas,

Nous recevons Famille Mercier-Jolly jeudi à 11h. Merci de préparer la slide deck habituelle et le bilan annuel.

Pierre"
E00804,2025-12-26T09:30:00,S04,S08,Café demain matin,"Marc, on prend un café demain matin avant la réunion ? J’aimerais te parler du dossier en cours.

Karim"
E00399,2025-12-26T10:30:00,S08,S09,Reporting mensuel M. Renaud,"Bonjour,

Veuillez trouver ci-joint le reporting mensuel pour le client M. Renaud. Performance du portefeuille : +2.39% sur le mois.

Cordialement,
Marc"
E00072,2025-12-26T11:30:00,S01,S02,Parking - place attribuée,"Bonjour,

Ta nouvelle place de parking est la B-2026-4078. Badge mis à jour automatiquement.

Cordialement,
Services généraux"
E00543,2025-12-26T11:30:00,S05,S10,Parking - place attribuée,"Bonjour,

Ta nouvelle place de parking est la B-2026-716. Badge mis à jour automatiquement.

Cordialement,
Services généraux"
E00087,2025-12-26T12:30:00,S04,S02,Réunion comité jeudi,"Bonjour Antoine,

Peux-tu confirmer ta présence à la réunion du comité jeudi à 14h ? L’ordre du jour porte sur le bilan trimestriel et les arbitrages budgétaires.

Merci,
Karim"
E00344,2025-12-26T12:30:00,S09,S10,Entretien annuel à programmer,"Bonjour Thomas,

Nous devons programmer ton entretien annuel avant la fin du mois. Voici trois créneaux possibles : mardi 14h, mercredi 10h, jeudi 16h. Lequel te convient ?

Léa"
E00895,2025-12-27T02:30:00,S10,S06,Demande de pièces - audit Q1,"Bonjour Pierre,

Dans le cadre de l’audit interne Q1, merci de me transmettre les balances comptables au jeudi et la liste des écritures > 100k EUR.

Cordialement,
Thomas"
E00728,2025-12-27T03:30:00,S09,S05,Bonne année 2026,"Bonjour à tous,

Toute l’équipe vous souhaite une excellente année 2026, pleine de réussites professionnelles et personnelles.

La direction"
E00150,2025-12-27T04:30:00,S03,S09,Bonne année 2026,"Bonjour à tous,

Toute l’équipe vous souhaite une excellente année 2026, pleine de réussites professionnelles et personnelles.

La direction"
